algo,seed,match_id,bot0,city_tiles0,units0,bot1,city_tiles1,units1,winner
EXP3Light,219701896,100232,meta_bot,1,2,imitation_dr,5,9,imitation_dr
EXP3Light,219701896,100233,meta_bot,14,14,imitation_rl,0,0,meta_bot
EXP3Light,219701896,100234,working_title,0,0,imitation_tb,1,1,imitation_tb
EXP3Light,219701896,100235,working_title,0,1,imitation_dr,3,3,imitation_dr
EXP3Light,219701896,100236,working_title,9,17,imitation_rl,0,0,working_title
EXP3Light,219701896,100237,imitation_tb,6,6,imitation_dr,1,1,imitation_tb
EXP3Light,219701896,100238,imitation_tb,4,5,imitation_rl,4,4,imitation_tb
EXP3Light,219701896,100239,imitation_dr,0,0,imitation_rl,5,9,imitation_rl
EXP3Light,903316568,100240,meta_bot,27,27,working_title,34,26,working_title
EXP3Light,903316568,100241,meta_bot,47,48,imitation_tb,66,67,imitation_tb
EXP3Light,903316568,100242,meta_bot,39,39,imitation_dr,36,36,meta_bot
EXP3Light,903316568,100243,meta_bot,43,43,imitation_rl,45,45,imitation_rl
EXP3Light,903316568,100244,working_title,43,34,imitation_tb,63,63,imitation_tb
EXP3Light,903316568,100245,working_title,25,30,imitation_dr,65,65,imitation_dr
EXP3Light,903316568,100246,working_title,35,31,imitation_rl,24,31,working_title
EXP3Light,903316568,100247,imitation_tb,62,62,imitation_dr,66,72,imitation_dr
EXP3Light,903316568,100248,imitation_tb,108,108,imitation_rl,45,47,imitation_tb
EXP3Light,903316568,100249,imitation_dr,128,128,imitation_rl,30,30,imitation_dr
EXP3Light,396596886,100250,meta_bot,28,29,working_title,10,7,meta_bot
EXP3Light,396596886,100251,meta_bot,2,4,imitation_tb,36,36,imitation_tb
EXP3Light,396596886,100252,meta_bot,9,9,imitation_dr,33,34,imitation_dr
EXP3Light,396596886,100253,meta_bot,46,46,imitation_rl,11,12,meta_bot
EXP3Light,396596886,100254,working_title,27,25,imitation_tb,2,3,working_title
EXP3Light,396596886,100255,working_title,3,8,imitation_dr,20,20,imitation_dr
EXP3Light,396596886,100256,working_title,18,19,imitation_rl,15,16,working_title
EXP3Light,396596886,100257,imitation_tb,11,13,imitation_dr,13,18,imitation_dr
EXP3Light,396596886,100258,imitation_tb,16,17,imitation_rl,7,9,imitation_tb
EXP3Light,396596886,100259,imitation_dr,3,3,imitation_rl,50,51,imitation_rl
EXP3Light,529065514,100260,meta_bot,5,5,working_title,0,1,meta_bot
EXP3Light,529065514,100261,meta_bot,2,2,imitation_tb,1,1,meta_bot
EXP3Light,529065514,100262,meta_bot,1,1,imitation_dr,15,15,imitation_dr
EXP3Light,529065514,100263,meta_bot,0,0,imitation_rl,36,36,imitation_rl
EXP3Light,529065514,100264,working_title,0,0,imitation_tb,4,5,imitation_tb
EXP3Light,529065514,100265,working_title,1,0,imitation_dr,6,10,imitation_dr
EXP3Light,529065514,100266,working_title,0,0,imitation_rl,4,4,imitation_rl
EXP3Light,529065514,100267,imitation_tb,3,3,imitation_dr,8,15,imitation_dr
EXP3Light,529065514,100268,imitation_tb,3,5,imitation_rl,5,5,imitation_rl
EXP3Light,529065514,100269,imitation_dr,1,1,imitation_rl,8,8,imitation_rl
EXP3Light,142355317,100270,meta_bot,13,13,working_title,1,6,meta_bot
EXP3Light,142355317,100271,meta_bot,22,23,imitation_tb,10,15,meta_bot
EXP3Light,142355317,100272,meta_bot,1,5,imitation_dr,18,23,imitation_dr
EXP3Light,142355317,100273,meta_bot,6,6,imitation_rl,45,45,imitation_rl
EXP3Light,142355317,100274,working_title,6,7,imitation_tb,11,12,imitation_tb
EXP3Light,142355317,100275,working_title,3,5,imitation_dr,72,72,imitation_dr
EXP3Light,142355317,100276,working_title,3,4,imitation_rl,13,13,imitation_rl
EXP3Light,142355317,100277,imitation_tb,42,42,imitation_dr,22,22,imitation_tb
EXP3Light,142355317,100278,imitation_tb,31,31,imitation_rl,7,23,imitation_tb
EXP3Light,142355317,100279,imitation_dr,8,12,imitation_rl,28,41,imitation_rl
EXP3Light,480087998,100280,meta_bot,6,10,working_title,5,3,meta_bot
EXP3Light,480087998,100281,meta_bot,24,24,imitation_tb,1,1,meta_bot
EXP3Light,480087998,100282,meta_bot,2,8,imitation_dr,0,0,meta_bot
EXP3Light,480087998,100283,meta_bot,42,42,imitation_rl,0,0,meta_bot
EXP3Light,480087998,100284,working_title,5,7,imitation_tb,0,1,working_title
EXP3Light,480087998,100285,working_title,36,37,imitation_dr,0,0,working_title
EXP3Light,480087998,100286,working_title,14,20,imitation_rl,0,0,working_title
EXP3Light,480087998,100287,imitation_tb,2,2,imitation_dr,4,9,imitation_dr
EXP3Light,480087998,100288,imitation_tb,12,20,imitation_rl,0,0,imitation_tb
EXP3Light,480087998,100289,imitation_dr,0,1,imitation_rl,8,8,imitation_rl
EXP3Light,967262953,100290,meta_bot,0,0,working_title,17,14,working_title
